age,annual_income,credit_score,loan_amount,loan_term_months,interest_rate,debt_to_income,employment_length_years,num_open_accounts,num_late_payments_2yrs,home_ownership,purpose,default
46,85100.0,596.0,4800.0,24,9.37,28.6,1.1,2,1,rent,credit_card,0
69,92600.0,,19500.0,60,11.91,29.1,0.9,8,0,MORTGAGE,debt_consolidation,0
62,55900.0,629.0,9300.0,36,14.18,52.0,1.3,6,1,RENT,credit_card,0
58,58200.0,736.0,7900.0,24,5.79,39.1,5.1,9,0,rent,major_purchase,0
68,31100.0,666.0,6900.0,60,11.67,15.5,9.0,3,1,Mortgage,other,0
38,34100.0,732.0,19100.0,60,9.19,49.2,3.9,5,1,Mortgage,major_purchase,0
46,121100.0,651.0,6700.0,48,10.96,55.5,2.2,4,0,OWN,debt_consolidation,0
38,61400.0,656.0,12800.0,36,12.06,42.1,2.7,2,0,RENT,debt_consolidation,1
58,57200.0,764.0,9900.0,36,3.5,5.4,2.4,5,3,RENT,debt_consolidation,0
48,72000.0,692.0,5700.0,36,7.59,15.5,3.2,6,1,OWN,debt_consolidation,0
52,54200.0,622.0,23200.0,60,15.89,20.0,,7,0,rent,debt_consolidation,0
54,43000.0,695.0,22500.0,60,8.88,20.9,1.7,9,0,OWN,medical,0
54,29400.0,534.0,10000.0,24,15.01,18.7,2.1,5,2,RENT,debt_consolidation,0
41,31500.0,617.0,8300.0,60,10.44,25.6,13.1,5,2,rent,debt_consolidation,0
61,29000.0,732.0,17100.0,48,7.57,41.8,4.0,2,2,RENT,debt_consolidation,0
36,25800.0,566.0,19000.0,36,12.08,28.3,2.4,7,1,OWN,credit_card,0
43,53200.0,728.0,21600.0,36,10.7,28.4,11.2,8,0,RENT,debt_consolidation,0
56,59700.0,671.0,10200.0,24,9.52,32.7,2.0,4,2,Mortgage,debt_consolidation,1
32,26100.0,557.0,16000.0,36,14.06,14.3,7.0,6,1,OWN,credit_card,0
68,59000.0,658.0,11500.0,60,11.53,24.6,1.0,6,0,OWN,debt_consolidation,1
47,91400.0,578.0,13900.0,36,12.76,25.4,1.6,6,2,OWN,debt_consolidation,1
38,24200.0,551.0,5000.0,36,12.42,15.1,3.6,3,2,RENT,debt_consolidation,0
36,126000.0,787.0,8600.0,36,7.34,47.5,1.6,7,1,MORTGAGE,other,0
62,81200.0,706.0,22900.0,24,9.52,53.2,5.0,5,3,RENT,small_business,1
48,,674.0,13400.0,36,10.46,31.9,4.3,5,1,MORTGAGE,debt_consolidation,0
33,66100.0,640.0,19200.0,48,9.69,36.7,5.3,3,2,OWN,other,0
27,83300.0,660.0,9200.0,48,10.5,31.8,5.5,4,2,Mortgage,home_improvement,0
33,104100.0,716.0,32300.0,36,10.69,22.9,2.3,4,0,OWN,small_business,0
45,72400.0,597.0,16900.0,60,9.49,23.3,1.0,6,2,Mortgage,debt_consolidation,0
63,26900.0,773.0,20800.0,60,8.14,28.7,5.4,7,0,RENT,major_purchase,0
49,57100.0,806.0,6800.0,24,6.25,21.6,1.3,10,1,OWN,home_improvement,0
63,85600.0,683.0,9100.0,48,9.79,6.6,0.8,5,1,MORTGAGE,credit_card,0
69,54800.0,746.0,26100.0,60,10.44,26.4,10.1,11,1,Mortgage,credit_card,0
24,69900.0,550.0,21800.0,60,12.46,19.7,2.1,6,1,rent,debt_consolidation,0
41,46300.0,609.0,16600.0,60,12.5,0.0,0.8,10,0,RENT,credit_card,0
25,78900.0,635.0,13500.0,48,8.92,14.7,3.5,9,1,OWN,debt_consolidation,0
42,35000.0,559.0,5300.0,48,11.79,28.1,0.2,11,2,OWN,home_improvement,0
42,73700.0,678.0,7600.0,24,11.48,41.2,7.4,6,0,RENT,other,0
52,61000.0,526.0,14200.0,36,12.72,8.1,0.8,1,0,MORTGAGE,debt_consolidation,0
56,59700.0,642.0,9100.0,60,12.34,20.4,9.7,6,0,OWN,medical,0
57,46400.0,683.0,35100.0,36,10.44,25.5,2.2,10,2,RENT,home_improvement,0
30,75800.0,601.0,18600.0,60,10.69,31.6,7.8,12,1,Mortgage,small_business,1
46,51400.0,750.0,7700.0,36,5.4,44.4,4.1,9,0,OWN,debt_consolidation,0
67,66800.0,597.0,18800.0,36,12.88,26.2,2.6,8,0,RENT,debt_consolidation,0
29,28600.0,723.0,17300.0,60,7.24,27.0,6.9,4,1,MORTGAGE,debt_consolidation,0
48,106800.0,681.0,25300.0,48,12.15,17.1,,5,2,OWN,debt_consolidation,0
45,29000.0,622.0,38700.0,48,11.43,23.7,4.0,6,2,OWN,major_purchase,1
27,83000.0,601.0,10800.0,60,12.49,41.2,9.3,6,1,MORTGAGE,home_improvement,0
27,80000.0,729.0,7000.0,48,7.63,23.3,4.1,2,0,OWN,major_purchase,0
56,49600.0,532.0,24000.0,36,12.16,35.2,1.2,5,3,OWN,debt_consolidation,1
27,46200.0,587.0,18000.0,60,11.71,58.0,2.2,7,1,MORTGAGE,debt_consolidation,1
35,124800.0,535.0,11700.0,24,14.23,20.7,1.5,3,3,MORTGAGE,other,0
25,65200.0,532.0,6600.0,60,12.84,27.9,7.7,6,0,MORTGAGE,debt_consolidation,1
43,124700.0,705.0,10300.0,12,11.46,19.4,26.0,12,0,RENT,major_purchase,0
33,36700.0,757.0,14400.0,36,9.79,34.4,9.1,7,1,RENT,small_business,0
52,110400.0,678.0,11100.0,60,8.95,25.5,1.8,4,0,RENT,debt_consolidation,0
65,68500.0,673.0,23300.0,36,10.84,39.4,12.4,9,0,RENT,credit_card,0
24,89900.0,607.0,15000.0,60,13.87,10.5,7.2,4,0,MORTGAGE,credit_card,0
27,16400.0,699.0,8400.0,60,9.7,38.6,3.2,6,2,OWN,home_improvement,0
44,77600.0,415.0,7200.0,36,18.9,11.9,14.8,4,3,rent,credit_card,1
30,19700.0,640.0,6100.0,36,14.68,37.2,,10,0,RENT,medical,0
28,29100.0,779.0,21000.0,60,9.64,32.6,6.3,3,1,MORTGAGE,credit_card,0
61,74400.0,636.0,7900.0,36,12.96,23.3,7.5,4,0,RENT,debt_consolidation,0
58,47200.0,653.0,13600.0,60,10.72,36.6,0.9,7,3,RENT,medical,0
58,63200.0,598.0,15400.0,36,9.96,25.2,1.1,5,2,MORTGAGE,major_purchase,0
28,34100.0,761.0,27500.0,12,8.07,21.5,1.1,4,0,RENT,major_purchase,0
69,40900.0,711.0,10300.0,48,6.72,29.3,0.8,7,0,RENT,other,0
30,59700.0,681.0,9300.0,24,7.43,36.3,5.0,6,3,MORTGAGE,debt_consolidation,0
64,54800.0,599.0,7100.0,12,9.57,31.1,2.4,6,0,RENT,credit_card,0
69,72000.0,559.0,11000.0,36,12.41,50.4,3.8,8,0,MORTGAGE,debt_consolidation,1
50,48200.0,638.0,12400.0,36,11.64,13.5,0.4,6,4,RENT,credit_card,0
41,25800.0,433.0,13100.0,36,13.27,50.3,1.7,10,4,RENT,home_improvement,1
65,,689.0,11300.0,60,8.37,24.1,3.1,5,0,MORTGAGE,debt_consolidation,0
26,78100.0,516.0,15700.0,48,14.76,27.9,3.4,10,3,RENT,debt_consolidation,0
22,96600.0,591.0,8400.0,60,9.5,20.0,1.2,5,3,RENT,debt_consolidation,0
40,46100.0,679.0,28000.0,36,3.9,35.2,28.1,4,0,MORTGAGE,major_purchase,0
35,35600.0,622.0,10800.0,24,10.64,34.1,7.7,7,0,MORTGAGE,credit_card,0
68,42300.0,734.0,27700.0,84,6.62,17.7,2.1,3,1,OWN,small_business,0
48,73100.0,691.0,16100.0,48,9.96,39.2,1.6,6,1,MORTGAGE,debt_consolidation,0
68,55700.0,675.0,13600.0,36,10.48,12.6,4.7,11,0,MORTGAGE,major_purchase,0
66,50700.0,688.0,5100.0,84,5.74,37.6,1.3,8,0,MORTGAGE,major_purchase,0
38,23200.0,669.0,46700.0,60,13.45,16.9,16.7,10,0,OWN,debt_consolidation,0
21,87500.0,630.0,60300.0,36,9.59,26.2,8.1,9,3,OWN,small_business,1
51,50600.0,732.0,9300.0,36,5.04,20.9,5.3,6,0,OWN,other,0
27,56600.0,606.0,16800.0,36,10.62,26.5,1.5,2,2,MORTGAGE,home_improvement,0
27,39300.0,815.0,10800.0,48,3.5,20.8,5.8,10,0,rent,debt_consolidation,0
31,37400.0,642.0,14300.0,36,8.13,26.8,0.4,4,1,Mortgage,debt_consolidation,0
67,38100.0,643.0,16100.0,36,9.88,22.2,2.1,9,0,RENT,debt_consolidation,1
23,58200.0,682.0,14400.0,84,12.38,0.8,3.1,6,1,OWN,credit_card,0
69,76000.0,614.0,20500.0,60,11.15,0.0,1.7,3,3,rent,major_purchase,1
28,54100.0,594.0,12900.0,24,13.19,41.6,2.1,12,2,RENT,debt_consolidation,1
59,58600.0,637.0,19800.0,48,7.17,38.7,1.2,5,2,RENT,medical,0
56,51200.0,665.0,19200.0,12,11.86,31.4,13.8,6,0,MORTGAGE,debt_consolidation,0
46,,603.0,9700.0,36,11.98,13.2,3.2,5,1,MORTGAGE,other,0
48,55500.0,598.0,20700.0,36,8.37,13.1,1.4,5,1,MORTGAGE,credit_card,0
36,43200.0,515.0,9600.0,12,12.86,34.4,2.1,6,4,OWN,credit_card,0
52,34700.0,613.0,29700.0,36,6.89,54.4,1.0,2,1,OWN,medical,0
67,56300.0,662.0,14500.0,36,5.66,22.5,1.7,4,1,MORTGAGE,other,0
53,40000.0,694.0,11600.0,48,7.87,34.6,1.1,4,0,MORTGAGE,credit_card,0
47,64400.0,721.0,12600.0,60,8.61,46.6,9.3,9,0,RENT,home_improvement,0
36,36900.0,647.0,18200.0,36,10.95,41.4,3.9,5,2,rent,small_business,0
45,24500.0,619.0,27100.0,60,10.98,39.0,4.6,6,1,OWN,other,1
61,36400.0,587.0,16900.0,12,13.1,34.7,5.3,2,1,RENT,small_business,1
23,54400.0,639.0,23900.0,36,11.59,48.9,5.1,6,0,MORTGAGE,debt_consolidation,1
42,48900.0,664.0,8800.0,60,7.1,26.8,2.4,6,2,OWN,debt_consolidation,0
36,40600.0,648.0,6500.0,60,12.62,27.8,5.5,2,3,OWN,debt_consolidation,0
22,46400.0,676.0,12200.0,36,10.57,41.7,,3,0,MORTGAGE,small_business,0
25,76200.0,648.0,8300.0,60,11.75,36.8,4.2,3,1,rent,debt_consolidation,1
27,76700.0,563.0,14200.0,60,13.56,8.6,7.8,4,1,RENT,debt_consolidation,1
49,33300.0,772.0,13200.0,60,5.33,20.7,3.1,9,0,MORTGAGE,small_business,0
56,34300.0,645.0,5800.0,36,10.06,29.1,0.6,7,0,RENT,other,1
36,61700.0,701.0,20000.0,48,11.42,38.8,0.3,6,0,MORTGAGE,credit_card,0
63,58200.0,571.0,15900.0,36,14.69,18.6,2.8,4,6,RENT,credit_card,1
59,,642.0,22400.0,36,12.07,43.2,1.4,1,3,RENT,debt_consolidation,0
58,21200.0,749.0,9600.0,48,8.19,0.0,1.0,8,0,MORTGAGE,home_improvement,0
58,62900.0,640.0,4800.0,24,8.73,4.8,0.0,5,1,MORTGAGE,credit_card,0
57,77200.0,773.0,10100.0,24,5.42,28.3,3.2,6,1,RENT,medical,0
60,49500.0,636.0,18900.0,36,12.39,47.1,3.0,8,0,MORTGAGE,credit_card,0
64,46100.0,552.0,36500.0,48,13.22,52.7,,7,2,MORTGAGE,credit_card,1
47,31600.0,611.0,23800.0,36,13.63,33.5,0.8,8,2,RENT,other,1
45,101400.0,696.0,17800.0,60,10.3,11.7,5.0,6,0,RENT,home_improvement,0
25,27800.0,522.0,26500.0,36,12.19,2.4,7.9,8,2,MORTGAGE,debt_consolidation,0
25,42300.0,650.0,5500.0,24,10.29,0.0,2.4,4,0,MORTGAGE,home_improvement,0
61,36900.0,630.0,25800.0,60,9.85,33.0,6.9,4,3,RENT,other,1
56,18100.0,837.0,9500.0,24,8.77,14.2,1.4,4,1,rent,debt_consolidation,0
54,362700.0,786.0,11000.0,60,8.11,25.1,5.0,7,1,OWN,medical,0
24,48100.0,680.0,22700.0,36,10.25,27.2,0.7,6,0,MORTGAGE,medical,1
60,137200.0,712.0,13300.0,48,7.63,27.0,0.8,12,0,rent,other,0
57,36800.0,670.0,14100.0,48,9.98,,5.0,4,0,RENT,small_business,0
34,232000.0,722.0,20600.0,48,4.82,16.2,9.7,5,2,RENT,medical,0
52,34800.0,599.0,6100.0,60,9.7,17.0,5.7,8,0,MORTGAGE,debt_consolidation,1
65,23700.0,717.0,9100.0,36,9.28,21.0,0.9,7,0,RENT,debt_consolidation,0
43,34900.0,665.0,9200.0,24,9.45,34.0,3.0,3,2,RENT,debt_consolidation,0
24,33700.0,724.0,21700.0,36,9.79,29.1,6.7,9,0,MORTGAGE,home_improvement,0
43,,739.0,12300.0,48,7.06,33.1,6.9,3,0,RENT,medical,0
42,65000.0,632.0,49300.0,24,9.33,12.4,1.1,6,0,rent,small_business,0
57,46900.0,770.0,20900.0,60,7.95,21.2,1.3,5,1,RENT,credit_card,0
28,56100.0,699.0,19900.0,12,8.46,46.5,1.2,8,0,RENT,debt_consolidation,0
29,85600.0,673.0,47800.0,36,9.0,38.4,10.8,7,0,Mortgage,credit_card,0
54,58500.0,567.0,12700.0,36,13.36,47.9,2.1,3,4,MORTGAGE,small_business,0
67,24700.0,567.0,5400.0,36,13.29,27.9,6.2,4,2,RENT,credit_card,0
43,49100.0,590.0,24500.0,36,11.61,34.1,3.2,6,2,OWN,home_improvement,0
43,64800.0,647.0,33200.0,36,12.26,35.1,2.6,8,1,RENT,small_business,1
44,,505.0,10400.0,48,13.56,30.8,15.8,2,3,RENT,major_purchase,0
47,,478.0,12400.0,60,11.91,28.0,2.3,11,1,OWN,major_purchase,1
39,17100.0,716.0,7300.0,48,9.69,30.9,5.1,3,1,Mortgage,debt_consolidation,0
32,55000.0,781.0,7000.0,24,8.34,27.3,3.1,5,0,MORTGAGE,home_improvement,0
57,26400.0,633.0,12100.0,24,11.31,48.6,19.2,5,1,OWN,major_purchase,0
66,41000.0,783.0,16600.0,36,5.67,8.4,1.7,5,0,Mortgage,medical,0
30,60500.0,690.0,42700.0,36,11.69,34.2,1.2,2,1,RENT,debt_consolidation,0
45,22500.0,694.0,6700.0,48,7.16,30.2,3.7,8,0,Mortgage,major_purchase,0
26,85700.0,672.0,17400.0,24,11.82,34.8,8.5,9,0,MORTGAGE,debt_consolidation,0
23,48800.0,741.0,12300.0,60,7.96,41.4,3.2,4,1,MORTGAGE,major_purchase,0
69,40100.0,746.0,18800.0,36,8.15,31.0,8.9,3,0,RENT,home_improvement,0
47,34000.0,628.0,20500.0,12,10.79,28.0,0.3,7,0,RENT,debt_consolidation,0
39,32300.0,735.0,18300.0,12,10.19,17.0,,3,2,RENT,debt_consolidation,0
61,62900.0,798.0,6300.0,36,4.5,8.5,0.5,7,0,MORTGAGE,home_improvement,0
61,65700.0,661.0,6000.0,24,10.0,31.5,14.9,4,0,RENT,credit_card,0
25,75100.0,532.0,27700.0,36,12.87,45.6,3.7,4,0,MORTGAGE,debt_consolidation,1
58,40300.0,682.0,19700.0,48,10.27,32.2,1.5,6,1,RENT,medical,0
63,72600.0,695.0,27100.0,36,11.28,23.1,1.9,14,1,OWN,major_purchase,0
34,47300.0,779.0,13900.0,36,6.44,42.3,8.5,7,0,RENT,debt_consolidation,0
62,88200.0,767.0,6600.0,36,7.9,29.5,1.8,2,0,RENT,debt_consolidation,0
68,68500.0,652.0,24800.0,60,11.05,37.4,15.7,8,1,RENT,credit_card,0
36,31600.0,850.0,12200.0,48,4.13,23.6,1.0,7,0,RENT,credit_card,0
30,86600.0,655.0,8400.0,48,11.04,24.8,4.2,8,2,RENT,credit_card,0
21,56900.0,728.0,23400.0,36,9.13,13.3,1.5,6,0,MORTGAGE,credit_card,0
66,28900.0,655.0,10200.0,60,11.6,32.5,3.3,8,0,RENT,debt_consolidation,0
51,95700.0,679.0,10200.0,60,8.22,35.1,1.3,9,4,rent,credit_card,0
31,70400.0,841.0,4900.0,48,6.57,21.7,1.7,6,2,OWN,credit_card,0
27,54900.0,520.0,11800.0,36,12.86,41.0,2.6,8,2,RENT,debt_consolidation,1
28,26500.0,543.0,13200.0,48,11.74,22.9,2.6,3,0,MORTGAGE,debt_consolidation,1
35,52800.0,702.0,9600.0,48,9.33,29.7,3.7,5,1,RENT,medical,0
55,31200.0,699.0,9900.0,36,11.89,45.2,1.3,5,0,MORTGAGE,medical,0
64,69200.0,734.0,4300.0,24,10.29,51.3,0.5,9,0,rent,debt_consolidation,0
66,24100.0,680.0,22700.0,60,7.26,18.4,1.0,5,0,OWN,credit_card,0
63,43700.0,593.0,12800.0,36,13.2,19.6,0.3,6,2,RENT,debt_consolidation,1
68,38100.0,738.0,6200.0,36,7.49,34.6,1.4,5,0,MORTGAGE,major_purchase,0
58,63500.0,657.0,18700.0,24,9.74,24.6,4.3,6,1,rent,major_purchase,0
58,55800.0,760.0,6500.0,36,6.54,14.9,7.1,7,0,MORTGAGE,credit_card,0
33,79800.0,753.0,7500.0,36,10.13,20.9,,5,0,MORTGAGE,major_purchase,0
36,88500.0,576.0,13900.0,24,10.33,28.8,3.2,9,0,RENT,debt_consolidation,1
67,119300.0,641.0,36000.0,48,11.64,29.5,3.3,4,0,MORTGAGE,major_purchase,0
63,34400.0,551.0,21300.0,48,12.2,25.0,,5,2,OWN,home_improvement,0
37,,663.0,11700.0,48,7.81,47.3,7.7,7,1,rent,credit_card,0
47,57200.0,693.0,28500.0,24,7.11,19.2,3.4,8,0,MORTGAGE,credit_card,0
69,36900.0,744.0,24400.0,36,5.46,27.2,4.4,5,1,MORTGAGE,credit_card,0
68,38900.0,656.0,13900.0,60,10.3,24.3,0.1,11,0,MORTGAGE,medical,1
49,46600.0,558.0,13300.0,36,13.94,22.0,5.3,4,0,MORTGAGE,other,0
64,81600.0,619.0,13600.0,24,10.38,21.0,8.5,6,2,MORTGAGE,major_purchase,0
33,49400.0,606.0,21300.0,36,8.73,12.0,3.5,3,1,RENT,major_purchase,0
49,37800.0,661.0,40800.0,48,12.4,30.4,16.6,7,0,OWN,debt_consolidation,1
45,71100.0,631.0,12600.0,36,13.22,28.5,2.9,10,1,MORTGAGE,debt_consolidation,0
45,,674.0,12800.0,84,10.07,23.7,1.1,11,0,MORTGAGE,debt_consolidation,1
27,53600.0,647.0,9400.0,36,11.32,37.1,0.0,4,0,MORTGAGE,home_improvement,0
25,37400.0,630.0,12900.0,48,10.66,3.8,,8,0,RENT,debt_consolidation,0
54,50200.0,607.0,10000.0,48,11.04,28.3,13.7,10,1,RENT,credit_card,0
42,67900.0,779.0,13900.0,60,8.97,36.0,2.6,5,0,RENT,debt_consolidation,0
48,79100.0,600.0,23700.0,24,10.62,37.5,14.1,6,0,OWN,credit_card,0
55,77200.0,616.0,12700.0,36,10.61,24.6,1.3,5,1,MORTGAGE,credit_card,0
35,80300.0,516.0,31200.0,36,13.15,38.0,3.1,7,0,OWN,small_business,0
54,56400.0,750.0,50500.0,84,7.61,23.9,4.2,7,2,MORTGAGE,credit_card,0
26,24000.0,796.0,10800.0,60,8.79,24.8,3.4,5,1,MORTGAGE,credit_card,0
28,42800.0,634.0,5000.0,36,10.9,17.8,16.4,7,2,MORTGAGE,home_improvement,0
58,48900.0,573.0,8700.0,48,10.33,36.0,5.4,12,1,RENT,debt_consolidation,1
39,74400.0,767.0,15900.0,36,9.65,9.3,5.0,7,0,OWN,home_improvement,0
26,87300.0,636.0,17800.0,24,10.41,13.3,1.9,6,0,RENT,credit_card,1
69,63600.0,761.0,16000.0,12,8.91,47.7,4.5,14,1,MORTGAGE,debt_consolidation,0
43,46100.0,631.0,33300.0,60,11.06,8.4,5.9,9,1,RENT,credit_card,0
69,41400.0,564.0,14300.0,24,15.03,23.0,7.2,8,0,OWN,credit_card,1
44,51800.0,566.0,6800.0,36,12.44,32.8,0.6,5,0,OWN,small_business,1
35,35000.0,599.0,16500.0,36,10.77,24.6,0.8,7,0,OWN,home_improvement,1
49,66300.0,728.0,6100.0,48,4.44,20.0,0.4,5,1,rent,other,0
49,25800.0,699.0,11400.0,24,11.84,26.9,2.0,3,1,MORTGAGE,home_improvement,1
55,50700.0,544.0,7700.0,24,9.58,35.7,2.5,5,2,OWN,debt_consolidation,0
46,34900.0,670.0,6700.0,12,7.09,28.8,4.1,8,0,MORTGAGE,debt_consolidation,0
43,60300.0,639.0,33600.0,24,9.69,18.9,1.5,6,1,MORTGAGE,debt_consolidation,0
35,83100.0,703.0,9400.0,36,11.0,12.2,1.5,2,0,MORTGAGE,other,0
48,39600.0,679.0,14800.0,36,8.87,37.1,4.2,9,0,RENT,other,0
69,18500.0,655.0,23900.0,60,7.19,36.2,13.1,3,1,rent,major_purchase,0
43,48200.0,656.0,18600.0,48,9.92,33.8,7.0,5,0,RENT,credit_card,0
55,29900.0,566.0,20700.0,60,12.91,10.4,0.5,1,1,RENT,small_business,1
36,60100.0,735.0,29300.0,24,10.76,23.2,4.1,7,0,RENT,debt_consolidation,0
45,69800.0,767.0,14800.0,36,9.1,23.7,2.3,9,0,rent,debt_consolidation,0
68,67800.0,526.0,18900.0,60,14.14,21.7,2.3,9,0,RENT,home_improvement,0
61,64300.0,589.0,7900.0,12,12.38,21.0,1.2,8,2,RENT,other,0
53,47200.0,614.0,31100.0,24,8.89,9.0,1.3,6,0,MORTGAGE,debt_consolidation,0
45,59400.0,714.0,29500.0,36,7.87,41.7,1.0,3,0,RENT,other,0
43,88400.0,664.0,4600.0,24,10.71,20.3,0.1,6,1,MORTGAGE,other,0
27,54200.0,650.0,17800.0,24,9.94,37.6,7.5,5,2,OWN,home_improvement,0
39,45800.0,579.0,17700.0,36,16.43,37.9,0.6,3,4,MORTGAGE,credit_card,1
47,27100.0,586.0,31800.0,48,12.26,20.0,4.4,6,1,MORTGAGE,debt_consolidation,1
68,26800.0,614.0,4700.0,48,8.81,38.2,2.9,7,0,OWN,credit_card,0
